coastal acidification sea grant,"""sea grant"" AND ""acidification"""
REP. EDWARD WHITFIELD HOLDS A HEARING ON REGULATORY BARRIERS TO EXPORT COAL AND NATURAL GAS,
"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON ENVIRONMENTAL PROTECTION AGENCY, F.Y. 2019",
Sen. Murkowski Issues Remarks to Alaska State Legislature,
"Water, water, no longer everywhere",
U.S. REPRESENTATIVE EDWARD WHITFIELD (R-KY) HOLDS A HEARING ON CLIMATE CHANGE ASSESSMENTS,
Rutgers Findings May Predict the Future of Coral Reefs in a Changing World,
N.Y. State Climate Action Council Issues Report Entitled 'Scoping Plan',
REP. EDWARD WHITFIELD HOLDS A HEARING ON CLIMATE CHANGE POLICIES AND ACTIVITIES,
OSU Names Lubchenco Adviser for Marine Sciences,
"Deep-Red Alaska, Feeling Thaw, Devises Climate Change Plan",
NOAA Fisheries Celebrates 150th Anniversary,
University of Southampton: EUR 3.5 Million to Predict the Future for Coral Reefs,
University of California: Teaching Tools Show Climate Change Is Just One Aspect of a Changing World,
"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON ENVIRONMENTAL PROTECTION AGENCY, F.Y. 2019",
Alaskans live on frontier of climate change,
SEN. LISA MURKOWSKI HOLDS A HEARING ON THE NOMINATION OF RICK PERRY TO BE SECRETARY OF ENERGY,
"BOOKS, WRITING, TALKS",
Global Change Biology Issues 37 Research Articles in September 2017 Edition,
How investors are providing the green to save the ocean blue,
Mark Zuckerberg donates $50M to University of Hawaii to study impact of climate change on ocean,
DANCE,
Al Jazeera English - Al Jazeera Media Network: The battle over space emissions in Cornwall,
Should Seychelles Keep It in the Ground? Finance Minister Responds to Oil Exploration Concerns,
California A.G. Becerra Files Motion to Intervene in Lawsuit to Defend America's Clean Car Standards,
"Mainers have a strong voice - tell Collins why we need science funding Amid a budget battle, an oceanographer seeks help advocating for NOAA, the National Science Foundation and the U.S. Geological Survey.",
Time to raise ambitions for a greener world,
"From Maine's warming waters, kelp emerges as a potentially lucrative cash crop",
"Hemingway look-alike, shrinking Great Salt Lake, Polish war hero : News from around our 50 states",
REP. MATT SALMON HOLDS A HEARING ON U.S. POLICY IN THE PACIFIC,
REP. ENI F.H. FALEOMAVAEGA HOLDS A HEARING ON FOREIGN CLIMATE CHANGE FINANCE ASSISTANCE,
OSU Names Marine Science Leader from Southern California to Head College,
H APPROPS HEARING ON THE ENVIRONMENTAL PROTECTION AGENCY F.Y. 2018 BUDGET,
"SEN. THOMAS R. CARPER HOLDS A HEARING ON EXTREME WEATHER EVENTS, PANEL 1",
"REP. SANDER M. LEVIN HOLDS A HEARING ON THE GREEN JOBS ENERGY TAX INCENTIVE, PANEL 2",
Experts: Schools not teaching climate change correctly,
