"""sea grant"" AND ""acidification""",ocean acidification sea grant
,"House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill, 2018 (Part 7 of 7)"
,ENVIRONMENT: Climate Change Threatens Livelihoods of Africa's Fishermen
,Picks and pans for Alaska’s seafood industry in 2019
,The World Surf League Leads the Way for Global Professional Sports by Becoming Carbon Neutral and Eliminating Single-Serve Plastics
,2010 'could be world's warmest year on record'
,Jersey Shore residents look for more time to review plan
,Studying The arctic amid the big melt; Researchers from the Virginia Institute of Marine Science are on a mission to understand a little-known environment undergoing changes likely to reverberate around the globe.
,Annual Picks and Pans closes out 27th year of Fish Factor
,A captive orca and a chance for our redemption
,REP. EDWARD J. MARKEY HOLDS A HEARING ON U.S. PREPAREDNESS FOR GLOBAL WARMING
,Power Dynamics Innovations LLC to Supply Centerboard System for New Regional-Class Research Vessel
,Congressional Research Service: 'Science and Technology Issues for 118th Congress' (Part 5 of 5)
,NSF Awards Contract to Carry OOI Into the Next Decade and Beyond
,Shellfish show promise
,"Despite high prices, halibut stays in demand"
,$2 million awarded to funding lobster research in Maine
,Something fishyFinding Nemo' wasn't so entertaining for real clownfish - now conservationists worry about Finding Dory'
,"Sen. Murphy Secures Robust Funding to Support Long Island Sound Aquaculture Research, Connecticut Shellfish Industry & NOAA's Milford Lab"
,Maine Conservationists Endorse Tom Allen for Senate
,"House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill 2019 (Part 6 of 6)"
,Nature Conservancy Issues Public Comment on NOAA Notice
,Pingree Votes for Bill to Keep Government Operating
,Environmental Defense Fund Issues Report Entitled 'New and Emerging Technologies for Sustainable Fisheries: A Comprehensive Landscape Analysis'
,Del. Bordallo Addresses U.S. Coral Reef Task Force
,Isles warned of grim future for tourism
,Sustaining local fishermen
,'Finding Nemo' wasn't so entertaining for real clownfish. Now conservationists worry about 'Finding Dory'.
,Measures needed to preserve Nha Trang Bay corals
,CSUN Prof Investigates Why Some Corals are Thriving During Global Warming
,Whitehouse supports green energy provisions in tax bill
,TWU's Dr. Erica Grimm Artwork Showcased in Amsterdam
,Bristol Bay Students Learn Lessons in State Politics in Juneau
,TAKING THE HELM AT MARINE LAB: PENNGROVE MAN HOPES TO EXPAND BODEGA SITE'S RESEARCH DESPITE BUDGET WOES
,Annual best and worst of the past year in state fisheries
,"Alaska's 2007 fish retrospective: Same 'ole, same 'ole"
,SEN. BARBARA BOXER AND SEN. SHELDON WHITEHOUSE HOLD A HEARING ON OIL DISPERSANT USAGE IN THE GULF
,United States: U.S.-China Strategic & Economic Dialogue Outcomes of the Strategic Track
,"Cooperative Agreement Makes $36.8 Million Available for Cooperative Institute to Support NOAA Marine Research, Ecosystem Management"
,A playground swimming with life
,ACP Issues Public Comment to Interior Dept.
,Oysters on acid
,NOAA Fisheries Alaska Issues Report Entitled 'Aquaculture Accomplishments'
,EPA cuts could have major impact on Maine cleanup efforts
,Guam should prepare for N Korea strike: Senator
,$3 Million Estate Gift from Denise B. Evans Funds Oceanographic Research
,"Climate Vulnerable Nations Go Carbon Neutral, Plead for Help"
,Sen. Cantwell on Track to Secure Historic Investment in Salmon Recovery
,"Executive on President Trump's Proposed Budget: An Assault on the Environment, Economy and Mobility of King County"
,Deeper EPA cuts pose a particular menace to Maine
,Construction Starts on Research Ship to Be Operated by Oregon State University
,Appropriations Committee Passes Funding For Tsunami Warning System
,Written Testimony of Dr. Samuel Pooley Pacific Islands Fisheries Science Center Director on Magnuson-Stevens Act Reauthorization
,University of Montana Researcher Helps Reveal Changes in Water of Canadian Arctic
,"SEN. JEFF MERKLEY HOLDS A HEARING ON EFFECTS OF CLIMATE CHANGE ON WILDLIFE AND AGRICULTURE, PANEL 2"
,House Select Committee on Climate Crisis Issues Testimony From National Wildlife Federation President O'Mara (Part 2 of 2)
,United States: U.S.-China Strategic & Economic Dialogue Outcomes of the Strategic Track
,SEN. DANIEL K. AKAKA HOLDS A HEARING ON TRIBAL IMPACTS OF ENVIRONMENTAL CHANGES
,‘Six times the size of Yosemite’: the new marine sanctuary for the super-rich LA coast
,House of Committee on Rules Issues Report on Tribal Coastal Resiliency Act (Part 1 of 2)
,State's climate change efforts fall short
,Kodiak Summer Interns Benefit Seafood Industry
,Craters may have been gas releases
,"ProfNet Experts Available on Paris Agreement, Hurricane Preparedness, More"
,Vision needed to regulate seafloor mining
,"In the Keys, looking forward"
,REP. ROB BISHOP HOLDS A HEARING ON FEDERAL AGENCIES' SELECTIVE ENFORCEMENT OF ESA CONSULTATION
,Scientists set sail to study vital plankton
,"CSU's COAST, Others to Convene at Global PRIMO Sessions to Address Toxins in Aquatic Life, May 15-18 in Long Beach"
,Marine Technology and Life Sciences Seawater Complex Breaks Ground
,"India, France to enhance cooperation on marine science, technology"
,Harbor Branch to lease research ship
,"Where Trump would cut, Congress would restore"
,EVENTS
,Anna Michel Receives Gulf Research Program Early-career Research Fellowship
,"ProfNet Experts Available on Paris Agreement, Hurricane Preparedness, More"
,"No Day at the Beach: How Trump EPA Budget Cuts Would Harm Maine's Coast, Public Health, and Economy"
,H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET
,"FAU Gets $736,000 From NASA to Study Coastal Carbon Budget From Space"
,Reefs are in trouble. Can scientists nurture more resilient coral?
,THE LOBSTER TRAP
,Study Reveals Corals' Influence on Reef Microbes
,Isles warned of grim future for tourism
,Alaska's Uncertain Food Future
,Fishing's 'year in review' for 2007 ; SPOTLIGHT: RESOURCES
,Wanda Fish Technologies Enters Collaboration with Tufts University
,REP. HOWARD L. BERMAN HOLDS A MARKUP OF H.R. 152 AND A HEARING ON CLIMATE CHANGE AND THE ARCTIC
,EDITORIAL: A 'blue' legacy
,BayMobile Goes the Extra Mile to Schools
,"The science laboratory From little things, big things grow"
,University of Pennsylvania: Declines in Shellfish Species on Rocky Seashores Match Climate-Driven Changes
,Maryland Commission on Climate Change Issues Report Entitled 'Recommendations for Reducing Greenhouse Gas Emissions and Preparing for and Adapting to the Impacts of Climate Change' (Part 1 of 3)
,Conservation Alliance of St. Lucie County Issues Public Comment to Commerce Dept.
,House Rules Committee Issues Report on Coastal Zone Management Act (Part 1 of 3)
,Congress set to reject Trump's wide range of federal program cuts
,"Good for business and nature, kelp grows on Maine fishermen"
,Should scientists march?
,The aspiring ‘coral factory’ restoring reefs wrecked by climate change
,Senate Science Subcommittee Issues Testimony From Lake Superior National Estuarine Research Reserve
,EPA cuts seen as peril to Maine
,"Rep. Carbajal, Commerce Announce Chumash Heritage National Marine Sanctuary Moves to Designation Phase"
,"Good for business and nature, kelp grows on Maine fishermen"
,Crochet coral reef needles our conscience
,"THE The plentiful catch that brought wealth to fishing families is at risk, as climate change warms the Gulf of Maine. A way of life is on the line, but lobstermen can't, or won't, imagine another."
,Weather records back Cicilline climate claim
,Winlock High School Team Competes at Annual Orca Bowl
,H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET
,US Proposal Would Create World's Largest Marine Sanctuary
,UK Research & Innovation: Ambitious Research to Study Key Environmental Science Questions
,Hawai'i's reefs showing the strain
,Fish picks and pans for 2020
,REP. JOHN FLEMING HOLDS A HEARING ON PENDING BUSINESS
,"REP. FRANK R. WOLF, R-VA., HOLDS A HEARING ON NOAA BUDGET"
,The lobster trap
,Macron invites scientists to a different climate
,LETTERS IN THE EDITOR'S MAILBAG
,Senate Energy & Natural Resources Committee Issues Testimony From American Samoa Gov. Mauga
,"Hey drivers, follow laws, keep us all safe"
,Oregon research threatened in a pandemic world
,"Strong fishing highlights year in review, picks and pans"
,'Humanity is facing an existential risk ... people need to do whatever is necessary to prevent an existential threat' [Blogs]
,REP. HAL ROGERS HOLDS A MARKUP ON THE F.Y. 2016 ENERGY AND WATER APPROPRIATIONS BILL; THE F.Y. 2016 MILITARY CONSTRUCTION AND VETERANS AFFAIRS APPROPRIATIONS BILL; AND A REPORT ON THE SUBALLOCATION OF BUDGET ALLOCATIONS FOR F.Y. 2016
,New Brunswickers backed stem cell lab
,"Senate Committee on Commerce, Science and Transportation Holds a Hearing on Nominations - Final"
,Climate report is 'code red for humanity'
,LOCAL FORECLOSURE RATES DECREASE
,"$65,650 Available in Cooperative Agreement for Workshop on Climate Change, Wildlife Health"
,Walker orders mariculture task force
,"Bill & Melinda Gates Foundation Honors Hertz Foundation Fellows; Biochar Group One of Eight University Teams to ""Reinvent the Toilet"""
,"GLOBAL WARMING Are advocates adhering to science, or the party line?"
,REP. KEN CALVERT HOLDS A HEARING ON THE ENVIRONMENTAL PROTECTION AGENCY BUDGET REQUEST FOR F.Y. 2016
,"Top News Advisory for Friday, Oct. 16, 2015"
,REP. JOHN CULBERSON
,Digging otters play key role in health of eelgrass: UVic study
,Trump's budget cuts may cripple programs
,‘Garbage’ models and black boxes? The science of climate disaster planning
,Alaska Mariculture Task Force Issues Final Report Report to Gov. Dunleavy
,Summer Of 2010 Was Hottest Ever In Tri-Cities - So Far
,Universities study shellfish to help safeguard the industry
,In New Ireland
,Climate change is a health care emergency
,"Water, water, no longer everywhere"
,FOR THE NEXT 2016
,"Sens. Feinstein, Padilla, Rep. Carbajal Call for Chumash Heritage National Marine Sanctuary Designation"
,"Hawaii reefs showing strain of overuse, lack of protection"
,Shining Stars
,Ultrasounds on abalone improve spawning for endangered species
,UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change
,REP. JOHN CULBERSON
,"The institute As director of UTMSI, Robert Dickey shepherds a ...[Derived Headline]"
,guests comments
,Salesforce.Com Inc CoCEO Marc Benioff to Speak at Waste Management Sustainability Forum - Final
,BBC Travel Show Documents Plans to Protect Its Marine Resources
,The Aua Transect
,Hole new world
,OSU Names Marine Science Leader from Southern California to Head College
,A 'blue' legacy
,House-Passed Build Back Better Bill Includes Key Sen. Cantwell Priorities
,SSU Molecular Biologist Headed to Antarctica to Study Effects of Climate Change
,Antigua Faces Climate Risks with Ambitious Renewables Target
,Mainer leads scientists who set sail to study vital plankton
,SEN. JOHN D. ROCKEFELLER IV HOLDS A HEARING ON NOMINATIONS
,"Congress Reaches End-of-Year Compromise on Spending, Taxes"
,Walker orders mariculture task force
,EPA Seeks Comments on Carbon Pollution Emission Guidelines for Existing Stationary Sources
,We can help slow changes to climate
,REP. KEN CALVERT HOLDS A HEARING ON THE F.Y. 2017 BUDGET FOR THE DEPARTMENT OF THE INTERIOR
,REP. ALAN B. MOLLOHAN HOLDS A HEARING ON THE COMMERCE DEPARTMENT
,aine paleobotanist George Jacobson Jr [Derived headline]
,U.S. Embassies & Consulates Closed Today; Select U.S. Forces on Higher Alert; U.S. Embassies Around the World; Rain Ushers in Cooler Air Today; CBS Goes Dark in Major Cities; Bleacher Report
,"Rep. Carbajal, Sens. Feinstein, Padilla Call for Chumash Heritage National Marine Sanctuary Designation"
,Science lectures and notes
,Earth Day Awards honor local efforts
,Project aims to kick-start Waikiki coral reefs
,"As we prepare to go to hell in a handcart, it's refreshing to know that our"
,"Nature Conservancy: World's Largest Dynamic Kelp Map Launched, Uncovering Unprecedented Declines in Key Areas of California"
,OPINION: Welch takes a look back at the past year of fishy news
,Kelp farm permits still more popular than shellfish
,Alaska may profit from popularity of home-meal kits
,Trump's budget cuts may cripple programs
,Picks and pans feature best and worst in 2017 fish news
,House Homeland Security Committee Issues Testimony From Homeland Security Secretary Mayorkas (Part 1 of 2)
,House Natural Resources Committee Issues Testimony From Marshall Islands Ambassador Zackios
,Letters to the Editor
,Senate panel considers Robinson nomination to NOAA
,International Recognition of University of Plymouth Research
,James Delingpole: Time to put my money where my mouth is
,SEN. MARIA CANTWELL HOLDS A HEARING ON NOAA OVERSIGHT
,HSU's Marine Lab Turns 50
,Snapshot of Alaska seafood industry in '11
,OSU Names Lubchenco Adviser for Marine Sciences
,NOAA Fisheries Celebrates 150th Anniversary
,"UPSC Essentials - Weekly news express with MCQs: India as most populous nation, WMO’s Climate report, and more"
,Bates College students and professors are raising both appreciation for coastal grasslands' ability to soak up global-warming carbon and concern over human activity that's restricting it.
,Senate Homeland Security & Governmental Affairs Committee Issues Testimony From Homeland Security Secretary Mayorkas (Part 1 of 2)
,Univ. of Miami Student Bignami Among 5 Guy Harvey Scholarship Recipients
,UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change
,Alaskans live on frontier of climate change
,Coast Guard begins Arctic research cruise
,Digging otters play key role in health of eelgrass: UVic study
,A filmmaker's view of Earth's demise
,Baird's way
,Climate report is 'code red for humanity'
,Should Seychelles Keep It in the Ground? Finance Minister Responds to Oil Exploration Concerns
,Project aims to kick-start Waikiki coral reefs
,"Oregon Agriculture, Forestry Departments, Oregon Watershed Enhancement Board Issue Public Comment on USDA Notice"
,REP. MATT SALMON HOLDS A HEARING ON U.S. POLICY IN THE PACIFIC
,"Sen. Padilla, Colleagues Call for Chumash Heritage National Marine Sanctuary Designation"
,Thinking on run vital in cold climate
,REP. BRIAN BAIRD HOLDS A HEARING ON OIL SPILL CLEANUP TECHNOLOGY
,Climate report is 'code red for humanity'
,REEF'S ROAD TO RECOVERY
,"Applications for aquatic farming in Alaska drop due to pandemic, and kelp is favored over shellfish"
,"Dr. Cora Marrett, Acting Deputy Director Speaks on National Science Foundation Biography 'Igniting Our Imagination'"
,As we prepare to go [...]
,"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON AMERICAN INDIAN/ALASKA NATIVE PUBLIC WITNESSES, PART ONE"
,"Who is, and isnï¿½t, caring for Earth"
,Center for Biological Diversity Issues Public Comment on NOAA Notice
,Meet the world's largest plant: a single seagrass clone stretching 180 km in Western Australia's Shark Bay
,Community Outdoor Outreach Program Provides Opportunity to Get Outside
,Robotic ship sets off to retrace the Mayflower's famous journey
,Tuesday briefing: Johnson – let's get on with the Wab
,We've Filed An Initiative: Protect Washington Act
,Scientists tinker with evolution to save Hawaii coral reefs
,Fast news
,Robotic ship sets off to retrace the Mayflower's famous journey
,"University of Alaska-Southeast: From Streambed to Glacial Ice, Students Lead Research at the Alaska Coastal Rainforest Center"
,U.S.-Cuba Relationship
,UC-San Diego Scripps Institution of Oceanography: Phenomenal Phytoplankton - Scientists Uncover Cellular Process Behind Oxygen Production
,Taking on the world
,"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON THE DEPARTMENT OF THE INTERIOR, F.Y. 2019"
,"University of Miami: Marine Biologists, Local Officials Seek Answers to Recent Fish Kill"
,Beauty of the beasts
,"Samish tribe, Russian indigenous group compare cultures"
,World: Promoting Climate Change Action in Latin America and the Caribbean
,REP. EDWARD WHITFIELD HOLDS A HEARING ON REGULATORY BARRIERS TO EXPORT COAL AND NATURAL GAS
,President's Budget Highlights for the Northern Mariana Islands
,Scientists tinker with evolution to save Hawaii coral reefs
,Scientists struggle to save seagrass from coastal pollution
,Pledge adds pork to steak holder campaign
,Marsden funding helps Otago researchers unlock secrets of ageing
,U.S. REPRESENTATIVE EDWARD WHITFIELD (R-KY) HOLDS A HEARING ON CLIMATE CHANGE ASSESSMENTS
,Rutgers Findings May Predict the Future of Coral Reefs in a Changing World
,Hawaii researchers accelerate evolution in attempt to save Hawaii's coral reefs
,"Written Testimony of DHS Secretary Jeh Johnson for a House Committee on Appropriations, Subcommittee on Homeland Security Hearing"
,"Auburn University Research Team Seeks To Improve Climate Information, Understanding For Marine Sanctuary Management Planning"
,"Deep-Red Alaska, Feeling Thaw, Devises Climate Change Plan"
,"Coal Smarter Growth, 8 Collaborators Issue Public Comment to CEQ"
,Sen. Murkowski Champions Alaska Priorities in Year-End Budget Bills
,University of California: Teaching Tools Show Climate Change Is Just One Aspect of a Changing World
,SAVANNAH STATE MARINE SCIENTISTS START SCHOOL YEAR WITH NEW FACILITY
,"SEN. BARBARA MIKULSKI HOLDS A MARKUP OF COMMERCE, JUSTICE AND SCIENCE, AND TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT APPROPRIATIONS BILLS"
,On a quest to restore coral University of Miami hoping to rebuild state's decimated reefs
,Norwich researchers investigate how marine ecosystems regulate climate
,Northeast States for Coordinated Air Use Management Issues Public Comment to EPA
,URI's Graduate School of Oceanography Scientist Examining Microscopic Organisms in Narragansett Bay to Measure Climate Change
,President's view of research casts shadow over Alaska marine science conference
,Scientists tinker with evolution to save Hawaii coral reefs
,Scientists tinker with evolution to save Hawaii coral reefs
,Call for Nominations for 2015 Communication Awards
,Obama's One-Year Environmental Grades Range From 'B+' to 'C-'
,Microscope A week's worth of science news; WHY LIONS LIKE PRIDES
,House Select Committee on Climate Crisis Issues Testimony From Quinault Indian Nation VP Sharp
,State disputes study that predicts sharp decline in Gulf of Maine lobsters
,"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON AMERICAN INDIAN/ALASKA NATIVE PUBLIC WITNESSES, PART ONE"
,Scientists struggle to save seagrass from pollution
,REP. LAMAR SMITH HOLDS A HEARING ON THE ADMINISTRATION'S CLIMATE PLAN
,University of Maine: SEANET's Legacy - The Impact of Interdisciplinary Aquaculture Research on Maine
,Study Suggests Estuaries May Experience Accelerated Impacts of Human-caused CO2
,SEN. BARBARA BOXER HOLDS A HEARING ON CLEAN ENERGY JOBS AND AMERICAN POWER ACT
,REP. MIKE SIMPSON HOLDS A HEARING ON THE EPA BUDGET
,Seaweed offers hope
,$2 Million Available in Cooperative Agreement for Students' Environmental Literacy
,Robotic ship sets off to retrace the Mayflower's famous journey
,‘Impossible to Ignore’: Why Alaska Is Crafting a Plan to Fight Climate Change
,"PBS NewsHour For July 19, 2012"
,'State of the Coast' Conference Set for Oct. 27 in Coos Bay
,Editorial: Delay a problem for climate reports
,aine paleobotanist George Jacobson Jr [Derived headline]
,Trump’s view of research casts shadow over Alaska marine science conference
,Winning Ways
,"Portland Press Herald, Maine, Green Plate Special column"
,Annual picks and pans from the year that was in Alaska fisheries
,Rep. Pingree Issues Statement on FY 2020 Funding Bills
,"NMMA, Congressional Champions Go to Bat for Industry Priorities in Environmental and Infrastructure Bill"
,BayMobile Goes the Extra Mile to Schools
,Troubled waters: A debate grows over the management of the Waikiki Aquarium
,State disputes study that predicts sharp decline in Gulf of Maine lobster population
,House Appropriations Subcommittee Issues Testimony From Metlakatla Indian Community Councilmember Boxley
,Sen. Murkowski Issues Remarks to Alaska State Legislature
,2010: Art for arts sake ... and for a better community as well
,REP. NORMAN D. DICKS HOLDS A HEARING ON THE EPA BUDGET
,"Who is, and isnï¿½t, caring for Earth"
,Climate change: What you're saying
,President's view of research casts shadow over Alaska marine science conference
,At Your Service
,Bridging Science and Tradition
,"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON THE DEPARTMENT OF THE INTERIOR, F.Y. 2019"
,Mouginis-Mark Appointed Director for UH Manoa Sustainability Initiatives
,Climate change solutions can't wait
,Virginia Tech Launches the Center for Coastal Studies to Address Complex Issues in the Coastal Zone
,State disputes study finding lobster on cusp of decline
,URI's Graduate School of Oceanography Scientist Examining Microscopic Organisms in Narragansett Bay to Measure Climate Change
,Rice University: Algae Team Rosters Could Help ID 'Super Corals'
,Scripps joins climate alliance | Institute created for 6 university partners
,United States: United States-Cuba Relationship
,Al Jazeera English - Al Jazeera Media Network: The battle over space emissions in Cornwall
,"Mainers have a strong voice - tell Collins why we need science funding Amid a budget battle, an oceanographer seeks help advocating for NOAA, the National Science Foundation and the U.S. Geological Survey."
,REP. EDWARD WHITFIELD AND REP. JOHN SHIMKUS HOLD A JOINT HEARING ON ENVIRONMENTAL PROTECTION AGENCY BUDGET
,"White House Environmental Justice Advisory Council Issues Report Entitled 'Justice40, Climate and Economic Justice Screening Tool & Executive Order 12898 Revisions' (Part 6 of 7)"
,STATE DEPARTMENT SPOKESPERSON JEN PSAKI HOLDS STATE DEPARTMENT REGULAR NEWS BRIEFING
,University of Miami's quest to restore coral
,$2 Million Available in Cooperative Agreements for Supporting Education of K-12 Students
,Robotic ship sets off to retrace the Mayflower's famous journey
,REP. LAMAR SMITH HOLDS A HEARING ON THE ADMINISTRATION'S CLIMATE PLAN
,REP. JAMES P. MORAN HOLDS A HEARING ON THE BUDGET FOR THE FISH AND WILDLIFE SERVICE
,National Marine Manufacturers Association Outlines Advocacy Priorities in a Letter to President-Elect Biden
,your say All letters must be signed with a name and suburb to be published
,Glassell Family Foundation Donates $5 Million to UM
,It's time to face carbon tax reality
,What will President Trump mean for science?
,"LETERS TO THE EDITOR - 4/16/2006 - The immigration debate NAFTA impoverishes Latinos, makes them refugees"
,"Bill & Melinda Gates Foundation Honors Hertz Foundation Fellows; Biochar Group One of Eight University Teams to ""Reinvent the Toilet"""
,It's time to face carbon tax reality
,Five ways to fuel sustainable growth
,What ever happened to Great British humour?
,Airlines for America Issues Public Comment to CEQ
,Senate Indian Affairs Committee Issues Testimony From National Congress of American Indians
,It's time to face carbon tax reality
,A global environmental update
,Foreign fishermen to 'talk shop' at forum
,House Ways & Means Subcommittee Issues Testimony From National Congress of American Indians
,EPA clears way for broad limits on greenhouse gases
,Climate change is the single biggest health threat facing humanity
,AUDITIONS
,It's time to face carbon tax reality
,Community Extra: Calendar
,Letters To The Editor
,Fossil-Fuel Divestment Growing [analysis]
,The toxic aerosol that we breathe
,REP. EDWARD WHITFIELD HOLDS A HEARING ON CLIMATE CHANGE POLICIES AND ACTIVITIES
,Sen. Sanders Introduces Concurrent Resolution on Climate Emergency
,Happy Chappy ride for Cancer Research
,Kreiselmaier speaks at local GOP rally
,Delayers pose same danger as deniers of climate change
,Global Change Biology Issues 37 Research Articles in September 2017 Edition
,Obama Creates Interagency Council and Task Force on Climate
,"UC Clermont students help restore, protect Appalachian wildlife"
,Climate Change Adaptation a Strategic Priority for FY2016 Technical Assistance Funding through Interior's Office of Insular Affairs
,Press Release: Willis Towers Watson launches the Global Ecosystem Resilience Facility
,Huon Aquaculture Group Ltd Annual Shareholders Meeting - Final
,Oregon State Freezes Tuition for Returning Undergraduate Students
,REP. ENI F.H. FALEOMAVAEGA HOLDS A HEARING ON FOREIGN CLIMATE CHANGE FINANCE ASSISTANCE
,Help is needed to build more storm-resistant infrastructure | Commentary
,CAICE Outreach Program Creates Next Generation of Environmental Scientists
,"Kicking Off Earth Week, EPA Honors New York Environmental Leaders"
,Climate change: How it led to an unequal world (Column: Active Voice)
,Sops in the Works for Methanol-run Ships [Economy]
,Caribbean Community Climate Change Ministers Demand Climate Justice in Declaration Ahead of COP26
,Foreign fishermen to 'talk shop' at forum
,"Jacinda Ardern on culture wars, her plan for 2020 and how to cook snapper"
,Climate change: How it led to an unequal world
,Willis Towers Watson Launches the Global Ecosystem Resilience Facility
,The Prince and the Planet
,Stevens: It's time to face carbon tax reality
,Uni switching off fossil fuels
,Hut Outside Usdan Heralds Weeks of Climate Programs
,"It was marvelous night for coral sex: Barry White, climate change and the quest for the Lionel Messi of the reef"
,Anchorage mayor vows to reduce greenhouse gas emissions after Trump’s Paris pullout
,Mars Hill Academy celebrates a successful year of learning
,The problem with our paua
,Creative writing competition winners 2022
,Statement from Dr. Kathryn Sullivan on NOAA's Fiscal Year 2016 Budget Request
,United Nations: AIS Forum nations eye stronger collaboration in blue economy
,REP. EDWARD J. MARKEY HOLDS A HEARING ON THE AMERICAN CLEAN ENERGY SECURITY ACT OF 2009
,Can solar geoengineering save us from climate change?
,Northern Vancouver Island regional science fair winners - 2019
,EPA Issues Report Entitled 'FY 2022-2026 EPA Strategic Plan' (Part 2)
,"Jacinda Ardern on culture wars, her plan for 2020 and how to cook snapper"
,ESA Selects 2018 Katherine S. McCarter Graduate Student Policy Award Recipients
,Help is needed to build more storm-resistant infrastructure Guest columnist
,OP-ED: NC State: The time to act on climate change is now
,"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON ENVIRONMENTAL PROTECTION AGENCY, F.Y. 2019"
,EAC: Climate plan lacking in key area
,PROMOTING PRIVATE INVESTMENT IN RENEWABLE ENERGY PROJECTS
,"Toms River: A Story of Science and Salvation Wins Best Book Award From National Academies; NPR, New York Times, and Seattle Times Also Take Top Prizes"
,Science and Resilience Institute at Jamaica Bay Awarded $3.6 Million to Support Research on Resilience in Urban Coastal Ecosystems
,Prince Albert II of Monaco Charges Forth as Eco-Warrior
,LETTERS TO THE EDITOR
,Climate deniers give way to 'delayers'
,Marine Scientist Explores Ecosystem Balancing Act on Caribbean Coral Reefs
,"Port Recognizes Washington Legislature for Progress on Climate, Workforce, and Freight Mobility"
,Chesapeake Bay Foundation Issues Public Comment on EPA Proposed Rule
,Editorials from around New England
,Calendar
,It's time to face carbon tax reality
,"HOUSE APPROPRIATIONS COMMITTEE, INTERIOR, ENVIRONMENT, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON ENVIRONMENTAL PROTECTION AGENCY, F.Y. 2019"
,DNC green
,SWW sponsorship for national lobster hatchery
,Stevens: It's time to face carbon tax reality
,UNF Working With National Park Foundation To Stop Local Coastal Erosion
,Pollen newsletter Vol. 21
,United Nations: AIS Forum nations eye stronger collaboration in blue economy
,Voices of the Valleys
,"BOOKS, WRITING, TALKS"
,OSU President: University Remains Committed to Addressing Climate Change
,Rep. Blumenauer Introduces Concurrent Resolution on Climate Emergency
,Pledge adds pork to steak holder campaign
,USM Hosting Panel on Federal Budget Cuts and Maine Fisheries
,It's time to face carbon tax reality
,$2 Million Funding Available for Strengthening Public's and/or K-12 Students' Environmental Literacy
,"SEN. THOMAS R. CARPER HOLDS A HEARING ON EXTREME WEATHER EVENTS, PANEL 1"
,Stevens: It's time to face carbon tax reality
,Marine Biology Issues Research Articles in October 2016 Edition
,Experts: Schools not teaching climate change correctly
,"FERC Commissioner McNamee Issues Statement on Transcontinental Gas Pipe Line, Northeast Supply Enhancement Project"
,Remarks on America and the Asia Pacific: Partners in Prosperity
,REP. LAMAR SMITH HOLDS A HEARING ON CONGRESS' CONSTITUTIONAL OVERSIGHT RESPONSIBILITIES
,SENATE JUDICIARY COMMITTEE - HEARING
,REP. EDWARD WHITFIELD HOLDS A HEARING ON DEPARTMENT OF ENERGY BUDGET
,Here's where the Maine House of Representatives candidates stand on key issues
,H APPROPS HEARING ON THE DEPARTMENT OF THE INTERIOR F.Y. 2018 BUDGET
,Alberta's United Conservative Party seeks to join Saskatchewan's legal battle against federal carbon tax
,Harnessing Local Pride for Global Conservation
,FERC Commissioner McNamee Issues Statement on Columbia Gas Transmission
,SEN. JAMES M. INHOFE HOLDS A HEARING ON THE PRESIDENT'S INTERNATIONAL CLIMATE AGENDA
,REP. ED ROYCE HOLDS A HEARING ON FOREIGN AFFAIRS BUDGET FOR F.Y. 2015
,Helen Clark - 'What Does Rio+20 Mean for Sustainable Development?' [document]
,REP. ROB BISHOP HOLDS A HEARING ON WHITE HOUSE GREENHOUSE GAS EMISSION TARGETS
,H APPROPS HEARING ON THE ENVIRONMENTAL PROTECTION AGENCY F.Y. 2018 BUDGET
,CAMPAIGN 2018 MAINE GUBERNATORIAL DEBATE
,Netherlands: Ministers for quality adaptation finance under the spotlight at COP27
,Toughen penalty for the pollies caught out
,Trump eyes climate skeptic for key White House environmental post
,The speed bumps in India's electric vehicle ride that no one is talking about [Renewables]
,The tax-free shipping company that took control of a country's UN mission
,SEN. JOHN D. ROCKEFELLER IV HOLDS A HEARING ON THE NOMINATION OF GARY LOCKE TO BE COMMERCE SECRETARY
,Baron Waqa named as new Nauru president
,SEN. LISA MURKOWSKI HOLDS A HEARING ON THE NOMINATION OF RICK PERRY TO BE SECRETARY OF ENERGY
